model,regime,case,params,mean_rmse,fold0_rmse,fold1_rmse,fold2_rmse
RandomForest,charging,case3_lags,"{""max_depth"": 6, ""max_features"": ""sqrt"", ""min_samples_leaf"": 5, ""n_estimators"": 300}",3.2948425821635055,5.808495849199273,1.1452623861871298,2.9307695111041117
RandomForest,charging,case3_lags,"{""max_depth"": 6, ""max_features"": 1.0, ""min_samples_leaf"": 5, ""n_estimators"": 300}",2.9136781184971396,4.681648056274423,0.2851987215229493,3.7741875776940463
RandomForest,charging,case3_lags,"{""max_depth"": 12, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 300}",3.2357290604931586,5.727345037211743,1.0422728803835764,2.937569263884158
RandomForest,charging,case3_lags,"{""max_depth"": 12, ""max_features"": 1.0, ""min_samples_leaf"": 1, ""n_estimators"": 300}",2.903210284673595,4.738373103362222,0.2827248035704996,3.688532947088063
RandomForest,charging,case3_lags,"{""max_depth"": 12, ""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""n_estimators"": 300}",3.160116323151287,5.635785743543762,0.987003685432758,2.8575595404773395
RandomForest,charging,case3_lags,"{""max_depth"": 12, ""max_features"": 1.0, ""min_samples_leaf"": 2, ""n_estimators"": 300}",2.9101787774775865,4.754959953484848,0.27984045806314106,3.6957359208847707
RandomForest,charging,case3_lags,"{""max_depth"": 12, ""max_features"": ""sqrt"", ""min_samples_leaf"": 5, ""n_estimators"": 300}",3.2974674536511994,5.810747899219819,1.1564612551562048,2.9251932065775748
RandomForest,charging,case3_lags,"{""max_depth"": 12, ""max_features"": 1.0, ""min_samples_leaf"": 5, ""n_estimators"": 300}",2.9136778549660467,4.681647265681144,0.285198721522952,3.7741875776940454
RandomForest,charging,case3_lags,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 600}",3.2200069997907073,5.721042741603356,1.0187321719975724,2.9202460857711925
RandomForest,charging,case3_lags,"{""max_depth"": null, ""max_features"": 1.0, ""min_samples_leaf"": 1, ""n_estimators"": 600}",2.933878748145022,4.778025203478009,0.2754956452428075,3.7481153957142483
RandomForest,charging,case3_lags,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""n_estimators"": 600}",3.1844552772401706,5.685455491824052,0.9920428858186443,2.875867454077816
RandomForest,charging,case3_lags,"{""max_depth"": null, ""max_features"": 1.0, ""min_samples_leaf"": 2, ""n_estimators"": 600}",2.9099916231707774,4.736188232648762,0.2745064368180728,3.7192802000454988
RandomForest,charging,case3_lags,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 5, ""n_estimators"": 600}",3.2520457061408403,5.728393177326677,1.060373845024597,2.9673700960712464
RandomForest,charging,case3_lags,"{""max_depth"": null, ""max_features"": 1.0, ""min_samples_leaf"": 5, ""n_estimators"": 600}",2.9246947198724036,4.678811293912661,0.27430113756898955,3.8209717281355604
RandomForest,charging,case3_lags,"{""max_depth"": 6, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 600}",3.2442167637564423,5.6872799897196415,1.1223003785805294,2.923069922969156
RandomForest,charging,case3_lags,"{""max_depth"": 6, ""max_features"": 1.0, ""min_samples_leaf"": 1, ""n_estimators"": 600}",2.9463346455577324,4.794414560691615,0.27544515773785433,3.7691442182437287
RandomForest,charging,case3_lags,"{""max_depth"": 6, ""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""n_estimators"": 600}",3.183470917504282,5.686353417464486,0.9924170660968903,2.87164226895147
RandomForest,charging,case3_lags,"{""max_depth"": 6, ""max_features"": 1.0, ""min_samples_leaf"": 2, ""n_estimators"": 600}",2.9052885316688513,4.709141349701848,0.2745258436446449,3.7321984016600616
RandomForest,charging,case3_lags,"{""max_depth"": 6, ""max_features"": ""sqrt"", ""min_samples_leaf"": 5, ""n_estimators"": 600}",3.252894125441543,5.724758262139258,1.0656540793476847,2.968270034837686
RandomForest,charging,case3_lags,"{""max_depth"": 6, ""max_features"": 1.0, ""min_samples_leaf"": 5, ""n_estimators"": 600}",2.9246948581413243,4.678811708719414,0.2743011375689937,3.820971728135565
RandomForest,charging,case3_lags,"{""max_depth"": 12, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 600}",3.2237349140130953,5.719648171504153,1.0310446440789014,2.9205119264562325
RandomForest,charging,case3_lags,"{""max_depth"": 12, ""max_features"": 1.0, ""min_samples_leaf"": 1, ""n_estimators"": 600}",2.9338787481450233,4.778025203478016,0.2754956452428058,3.7481153957142475
RandomForest,charging,case3_lags,"{""max_depth"": 12, ""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""n_estimators"": 600}",3.1844552772401697,5.685455491824051,0.9920428858186426,2.8758674540778153
RandomForest,charging,case3_lags,"{""max_depth"": 12, ""max_features"": 1.0, ""min_samples_leaf"": 2, ""n_estimators"": 600}",2.909991623170777,4.736188232648766,0.2745064368180702,3.7192802000454948
RandomForest,charging,case3_lags,"{""max_depth"": 12, ""max_features"": ""sqrt"", ""min_samples_leaf"": 5, ""n_estimators"": 600}",3.2520457061408408,5.7283931773266765,1.0603738450245945,2.967370096071252
RandomForest,charging,case3_lags,"{""max_depth"": 12, ""max_features"": 1.0, ""min_samples_leaf"": 5, ""n_estimators"": 600}",2.9246947198724023,4.678811293912653,0.27430113756899255,3.8209717281355604
RandomForest,charging,case4_solar_and_lags,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 300}",3.4437026848022447,6.15877001126386,1.2464328186941929,2.9259052244486803
RandomForest,charging,case4_solar_and_lags,"{""max_depth"": null, ""max_features"": 1.0, ""min_samples_leaf"": 1, ""n_estimators"": 300}",2.9692017341156607,4.894431356830872,0.2859618779105699,3.7272119676055393
RandomForest,charging,case4_solar_and_lags,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""n_estimators"": 300}",3.430466701727145,6.064701031594562,1.288918400145299,2.9377806734415737
RandomForest,charging,case4_solar_and_lags,"{""max_depth"": null, ""max_features"": 1.0, ""min_samples_leaf"": 2, ""n_estimators"": 300}",2.9496963297679204,4.855997967969586,0.2729029166113607,3.7201881047228142
RandomForest,charging,case4_solar_and_lags,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 5, ""n_estimators"": 300}",3.572777750135471,6.27857695489191,1.3802000065033493,3.0595562890111543
RandomForest,charging,case4_solar_and_lags,"{""max_depth"": null, ""max_features"": 1.0, ""min_samples_leaf"": 5, ""n_estimators"": 300}",2.9364418816958273,4.7221509463893945,0.27351034950747954,3.813664349190607
RandomForest,charging,case4_solar_and_lags,"{""max_depth"": 6, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 300}",3.437875572236615,6.158624738937387,1.2139762559144707,2.9410257218579856
RandomForest,charging,case4_solar_and_lags,"{""max_depth"": 6, ""max_features"": 1.0, ""min_samples_leaf"": 1, ""n_estimators"": 300}",2.9428957812013805,4.8945566736580925,0.2659011569293128,3.6682295130167355
RandomForest,charging,case4_solar_and_lags,"{""max_depth"": 6, ""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""n_estimators"": 300}",3.482348944135509,6.119235390988326,1.3801346115012658,2.947676829916935
RandomForest,charging,case4_solar_and_lags,"{""max_depth"": 6, ""max_features"": 1.0, ""min_samples_leaf"": 2, ""n_estimators"": 300}",2.914524671683097,4.777032359716991,0.2780937625880397,3.6884478927442608
RandomForest,charging,case4_solar_and_lags,"{""max_depth"": 6, ""max_features"": ""sqrt"", ""min_samples_leaf"": 5, ""n_estimators"": 300}",3.57169606796213,6.274666531522001,1.386596464849341,3.053825207515048
RandomForest,charging,case4_solar_and_lags,"{""max_depth"": 6, ""max_features"": 1.0, ""min_samples_leaf"": 5, ""n_estimators"": 300}",2.9364421538159866,4.722151762749873,0.27351034950748115,3.8136643491906055
RandomForest,charging,case4_solar_and_lags,"{""max_depth"": 12, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 300}",3.449015217425304,6.158853862390179,1.2622865654370525,2.9259052244486816
RandomForest,charging,case4_solar_and_lags,"{""max_depth"": 12, ""max_features"": 1.0, ""min_samples_leaf"": 1, ""n_estimators"": 300}",2.969201734115657,4.894431356830874,0.2859618779105658,3.7272119676055318
RandomForest,charging,case4_solar_and_lags,"{""max_depth"": 12, ""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""n_estimators"": 300}",3.4304667017271435,6.064701031594557,1.2889184001452991,2.9377806734415755
RandomForest,charging,case4_solar_and_lags,"{""max_depth"": 12, ""max_features"": 1.0, ""min_samples_leaf"": 2, ""n_estimators"": 300}",2.9496963297679257,4.855997967969592,0.2729029166113638,3.720188104722821
RandomForest,charging,case4_solar_and_lags,"{""max_depth"": 12, ""max_features"": ""sqrt"", ""min_samples_leaf"": 5, ""n_estimators"": 300}",3.5727777501354705,6.27857695489191,1.380200006503348,3.059556289011153
RandomForest,charging,case4_solar_and_lags,"{""max_depth"": 12, ""max_features"": 1.0, ""min_samples_leaf"": 5, ""n_estimators"": 300}",2.9364418816958273,4.722150946389394,0.2735103495074804,3.813664349190607
RandomForest,charging,case4_solar_and_lags,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 600}",3.3984123456407502,6.12329136376731,1.1722077762980962,2.899737896856844
RandomForest,charging,case4_solar_and_lags,"{""max_depth"": null, ""max_features"": 1.0, ""min_samples_leaf"": 1, ""n_estimators"": 600}",2.9641385974883527,4.888956865546856,0.28073836248191786,3.7227205644362855
RandomForest,charging,case4_solar_and_lags,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""n_estimators"": 600}",3.411425963464318,6.0941896482361155,1.2113249632369347,2.9287632789199045
RandomForest,charging,case4_solar_and_lags,"{""max_depth"": null, ""max_features"": 1.0, ""min_samples_leaf"": 2, ""n_estimators"": 600}",2.951523594855908,4.840353835045304,0.27029748668598647,3.7439194628364323
RandomForest,charging,case4_solar_and_lags,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 5, ""n_estimators"": 600}",3.5222231005070728,6.185332339379241,1.3377163001976786,3.0436206619442987
RandomForest,charging,case4_solar_and_lags,"{""max_depth"": null, ""max_features"": 1.0, ""min_samples_leaf"": 5, ""n_estimators"": 600}",2.9433571325086163,4.742731615238423,0.26467292236789675,3.8226668599195297
RandomForest,charging,case4_solar_and_lags,"{""max_depth"": 6, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 600}",3.452735845385158,6.169177784640525,1.308970742450948,2.8800590090640004
RandomForest,charging,case4_solar_and_lags,"{""max_depth"": 6, ""max_features"": 1.0, ""min_samples_leaf"": 1, ""n_estimators"": 600}",2.952932363354563,4.86006733396267,0.2649810808857432,3.733748675215277
